claim_id_unique,claim_id_original,category,group_id,workshop,Batch
1qr4,1qr4,sociology,newsouthwales105,AIMOS19,AIMOS19
4jJw,4jJw,sociology,newsouthwales105,AIMOS19,AIMOS19
7lkJ,7lkJ,sociology,newsouthwales105,AIMOS19,AIMOS19
J7ek,J7ek,psychology,newsouthwales105,AIMOS19,AIMOS19
JWzJ,JWzJ,sociology,newsouthwales105,AIMOS19,AIMOS19
O4rB,O4rB,management,newsouthwales105,AIMOS19,AIMOS19
OGgb,OGgb,psychology,newsouthwales105,AIMOS19,AIMOS19
Peaa,Peaa,sociology,newsouthwales105,AIMOS19,AIMOS19
pZE3,pZE3,psychology,newsouthwales105,AIMOS19,AIMOS19
q5kg,q5kg,psychology,newsouthwales105,AIMOS19,AIMOS19
W41z,W41z,sociology,newsouthwales105,AIMOS19,AIMOS19
ZG4J,ZG4J,psychology,newsouthwales105,AIMOS19,AIMOS19
4erL,4erL,health related,newsouthwales78,AIMOS19,AIMOS19
5lxl,5lxl,health related,newsouthwales78,AIMOS19,AIMOS19
a15Q,a15Q,health related,newsouthwales78,AIMOS19,AIMOS19
ArWN,ArWN,health related,newsouthwales78,AIMOS19,AIMOS19
E8zN,E8zN,health related,newsouthwales78,AIMOS19,AIMOS19
ervP,ervP,health related,newsouthwales78,AIMOS19,AIMOS19
OmWy,OmWy,health related,newsouthwales78,AIMOS19,AIMOS19
POdb,POdb,health related,newsouthwales78,AIMOS19,AIMOS19
POdK,POdK,Unassigned,newsouthwales78,AIMOS19,AIMOS19
R9dv,R9dv,health related,newsouthwales78,AIMOS19,AIMOS19
X5Db,X5Db,health related,newsouthwales78,AIMOS19,AIMOS19
1W3Y,1W3Y,management,queensland118,AIMOS19,AIMOS19
2qX7,2qX7,management,queensland118,AIMOS19,AIMOS19
8RlX,8RlX,management,queensland118,AIMOS19,AIMOS19
a5DY,a5DY,management,queensland118,AIMOS19,AIMOS19
EvDa,EvDa,management,queensland118,AIMOS19,AIMOS19
LN1B,LN1B,management,queensland118,AIMOS19,AIMOS19
OZ1d,OZ1d,health related,queensland118,AIMOS19,AIMOS19
WZ7V,WZ7V,health related,queensland118,AIMOS19,AIMOS19
zJ8e,zJ8e,management,queensland118,AIMOS19,AIMOS19
zzbe,zzbe,health related,queensland118,AIMOS19,AIMOS19
4zev,4zev,health related,queensland55,AIMOS19,AIMOS19
AqdN,AqdN,health related,queensland55,AIMOS19,AIMOS19
AZLY,AZLY,health related,queensland55,AIMOS19,AIMOS19
kj1P,kj1P,health related,queensland55,AIMOS19,AIMOS19
kjg2,kjg2,health related,queensland55,AIMOS19,AIMOS19
mjG7,mjG7,health related,queensland55,AIMOS19,AIMOS19
pB7j,pB7j,health related,queensland55,AIMOS19,AIMOS19
qVDw,qVDw,health related,queensland55,AIMOS19,AIMOS19
qVGQ,qVGQ,health related,queensland55,AIMOS19,AIMOS19
R9a9,R9a9,health related,queensland55,AIMOS19,AIMOS19
R9rV,R9rV,health related,queensland55,AIMOS19,AIMOS19
wWZ7,wWZ7,health related,queensland55,AIMOS19,AIMOS19
zrje,zrje,health related,queensland55,AIMOS19,AIMOS19
ZY0a,ZY0a,health related,queensland55,AIMOS19,AIMOS19
3zRW,3zRW,political science,queensland98,AIMOS19,AIMOS19
4XXN,4XXN,political science,queensland98,AIMOS19,AIMOS19
7lmp,7lmp,sociology,queensland98,AIMOS19,AIMOS19
AEaG,AEaG,education,queensland98,AIMOS19,AIMOS19
BlRQ,BlRQ,education,queensland98,AIMOS19,AIMOS19
bYk9,bYk9,education,queensland98,AIMOS19,AIMOS19
GQX4,GQX4,education,queensland98,AIMOS19,AIMOS19
NYr8,NYr8,education,queensland98,AIMOS19,AIMOS19
P8az,P8az,political science,queensland98,AIMOS19,AIMOS19
RYX9,RYX9,education,queensland98,AIMOS19,AIMOS19
W5EZ,W5EZ,political science,queensland98,AIMOS19,AIMOS19
7XgZ,7XgZ,political science,southaustralia52,AIMOS19,AIMOS19
d2Am,d2Am,sociology,southaustralia52,AIMOS19,AIMOS19
dm4V,dm4V,criminology,southaustralia52,AIMOS19,AIMOS19
EG8a,EG8a,criminology,southaustralia52,AIMOS19,AIMOS19
EjlP,EjlP,sociology,southaustralia52,AIMOS19,AIMOS19
Pb9K,Pb9K,political science,southaustralia52,AIMOS19,AIMOS19
QGrm,QGrm,criminology,southaustralia52,AIMOS19,AIMOS19
QmzP,QmzP,sociology,southaustralia52,AIMOS19,AIMOS19
RY3N,RY3N,sociology,southaustralia52,AIMOS19,AIMOS19
VdjD,VdjD,political science,southaustralia52,AIMOS19,AIMOS19
Vxxp,Vxxp,political science,southaustralia52,AIMOS19,AIMOS19
Xb9r,Xb9r,political science,southaustralia52,AIMOS19,AIMOS19
2YXR,2YXR,economics,tasmania117,AIMOS19,AIMOS19
5v5l,5v5l,economics,tasmania117,AIMOS19,AIMOS19
9YlX,9YlX,economics,tasmania117,AIMOS19,AIMOS19
bkp8,bkp8,economics,tasmania117,AIMOS19,AIMOS19
Jbd2,Jbd2,economics,tasmania117,AIMOS19,AIMOS19
JbxB,JbxB,education,tasmania117,AIMOS19,AIMOS19
kEZZ,kEZZ,economics,tasmania117,AIMOS19,AIMOS19
KYge,KYge,economics,tasmania117,AIMOS19,AIMOS19
LyLd,LyLd,economics,tasmania117,AIMOS19,AIMOS19
m8yj,m8yj,education,tasmania117,AIMOS19,AIMOS19
qkaw,qkaw,economics,tasmania117,AIMOS19,AIMOS19
qkNz,qkNz,economics,tasmania117,AIMOS19,AIMOS19
vPka,vPka,education,tasmania117,AIMOS19,AIMOS19
xjmA,xjmA,economics,tasmania117,AIMOS19,AIMOS19
0Xgb,0Xgb,health related,tasmania120,AIMOS19,AIMOS19
1DYB,1DYB,political science,tasmania120,AIMOS19,AIMOS19
5jkw,5jkw,health related,tasmania120,AIMOS19,AIMOS19
a2B9,a2B9,political science,tasmania120,AIMOS19,AIMOS19
E09Z,E09Z,sociology,tasmania120,AIMOS19,AIMOS19
eabg,eabg,health related,tasmania120,AIMOS19,AIMOS19
EK5N,EK5N,criminology,tasmania120,AIMOS19,AIMOS19
gRWz,gRWz,health related,tasmania120,AIMOS19,AIMOS19
RmO9,RmO9,political science,tasmania120,AIMOS19,AIMOS19
Vx4e,Vx4e,political science,tasmania120,AIMOS19,AIMOS19
XJjz,XJjz,health related,tasmania120,AIMOS19,AIMOS19
xkZJ,xkZJ,health related,tasmania120,AIMOS19,AIMOS19
XZXv,XZXv,health related,tasmania120,AIMOS19,AIMOS19
ZZQQ,ZZQQ,health related,tasmania120,AIMOS19,AIMOS19
9Lvm,9Lvm,health related,tasmania125,AIMOS19,AIMOS19
